,Name,Country,Winery,Variety,Province,Region,Points,Price,Description
373,Classic Collection,,Napa Cellars,,,,,,
374,Rector Creek Vineyard,,Paraduxx,,,,,,
375,,,Quintana De Cue,,,,,,
376,Trocken,,Winzergenossenschaft Mayschoss-altenahr,Früburgunder,Ahr,,,,
377,Orquestal,,Casa Del Valle,,,,,,
378,,,Freemark Abbey,,,,,,
379,Olson Vineyard,,Joleté,,,Dry Creek Valley,,,
380,The Truant,,Prospect 772,,,,,,
381,,,Boatique,,,Red Hills Lake County,,,
382,Proprietor's Reserve,,Hearst Ranch,,,,,,
383,Cabovation Destiny Vineyards Mt. Christo Block Reserve,,Hunt Cellars,,,,,,
384,,,La Fiorita,,,,,,
385,Seven Hills Vineyard,,Merry Cellars,,,,,,
386,Compendium,Canada,Mission Hill,,British Columbia,Okanagan Valley,,,
387,Albariño De Fefiñanes,,Palacio De Fefiñanes,,,,,,
388,Terre De Maimbray,,Pascal & Nicolas Reverdy,,,,,,
389,Villa Al Cortile Riserva,,Piccini,,,,,,
390,,,Pietranera,,,,,,
391,Alb De Purcari,Moldova,Purcari,,Moldova,,,,
392,,,Renieri,,,,,,
393,,,Podere Scopetone,,,,,,
394,,,Sesta Di Sopra,,,,,,
395,Trois Fleurs,,Carlson,,,Santa Ynez Valley,,,
396,Cuvée Setier,,Château Pégau,,,Côtes Du Rhône Villages,,,
397,Cuvée De Nalys,,Kirkland Signature,,,,,,
398,Kate's + B's,,Medlock Ames,,,Alexander Valley,,,
399,New Generation,,Passaggio,,,,,,
400,,,Patland,,,,,,
401,Signpost,,Trig Point,,,,,,
402,Mirlo Blanco,,Valquejigoso,,Spain Other,Spain,,,
403,Steiner,Hungary,Weninger,Kekfrankos,Sopron,,,,
404,,,Tenuta Di Sesta,,,,,,
405,,,Terlato,,,,,,
406,,,The Calling,,,,,,
407,Elevation Annadel Gap Vineyard Estate,,Westwood,,,,,,
408,,,Fenestra,,,,,,
409,Berardo Riserva,,Castello Di Bossi,,,,,,
410,,,Cecchi,,,,,,
411,,,Cafaggio,,,,,,
412,Rapscallion,,League Of Rogues,,,,,,
413,,,Trus,,,,,,
414,,,Va Piano,,,,,,
415,Cuvée Lucie,,Les Hauts De Tousquiron,,,,,,
416,Chandler Vineyard,,Mcgrail,,,,,,
417,Freakshow,,Michael David,,,,,,
418,,,3 Horse Ranch Vineyards,,,,,,
419,Southern,,Cairdeas,,,,,,
420,Vigna Poggio Ronconi,,Citille Di Sopra,,,,,,
421,Filo Di Seta,,Castello Romitorio,,,,,98.0,
422,,,Château De Portets,,,,,,
423,,,Villa San Juliette,,,,,,
424,Unoaked,,Hat Ranch,,,,,,
425,Chicken Dinner,,,,,,,,
426,Pagliatura,,,Vermentino,,,,,
427,Buleria Fino,,Bodegas Dios Baco S.l.,Sherry,,,,,
428,Scirè,,Ceralti,,,Bolgheri,,,
429,,,Coiled,,,,,,
430,,,Condado De Oriza,,,,,,
431,,,Delgado Zuleta,,,Manzanilla-sanlúcar De Barrameda,,,
432,Roble 4 Meses En Barrica,,Señorío De Sotillo,,,,,,
433,U50,,Vale,,,,,,
434,Brunus,,Portal Del Montsant,,,,,,
435,,,La Collina Dei Lecci,,,,,52.0,
436,Vigna Manapetra Riserva,,Fattoria La Lecciaia,,,,,,
437,,,Ferrero,,,,,,
438,Superior,,Colinas Do Douro,,,,,,
439,Senza Solfiti Aggiunti,,Latium Di Morini,,,Soave,,,
440,Cannon Block,,,,,,,,
441,Conde Vimioso Colheita Seleccionada,,Falua,,,,,,
442,Alma Mora,,Finca Las Moras,,Other,San Juan,,,
443,Duas Quintas Branco,,Ramos-pinto,,,,,,
444,Estate Grown Cabernet,,Obelisco Estate,,,,,,
445,,,Orsi Family Vineyards,Aglianico,,,,,
446,,,Bota Box,,,,,,
447,,,Bouchard Finlayson,,Walker Bay,,,,
448,Porter And Plot,,Winc,,,,,,
449,,,Cass,,,,,,
450,,,Angeline,,,,,,
451,,,Domaine De Lamothe,,,,,,
452,,,Don Miguel Gascón,,,,,,
453,Estate Vineyard,,,,,,,,
454,,,Finca La Malena,Torrontés,,,,,
455,,,Firestone,,,,,,
456,Portal Da Vinha,,Companhia Das Quintas,,,,,,
457,Osborn Ranch,,Delorimier,Primitivo,,,,,
458,Cabriz,,Global Wines,,Dão,,,,
459,,,Guenoc,,,,,,
460,The Deep Six,,,,,,,,
461,,,,Semillon-sauvignon Blanc,,Bergerac Sec,,,
462,Oculto,,Quinta Do Arrobe,,,,,,
463,,,,Portuguese Rosé,,,,,
464,Bastide De Beauvert,,Les Vignobles Foncalieu,Grenache-syrah,,,,,
465,Montesodi,,Marchesi De' Frescobaldi,,,,,,
466,Les Gravels,,Domaine Rotier,,,,,,
467,Wehlener Sonnenuhr Kabinett,,Dr. Pauly Bergweiler,,,,,,
468,Cuvée Du Prince Metodo Classico,,Cave Du Vin Blanc De Morgex Et De La Salle,Prié Blanc,Italy Other,Vino Spumante,,,
469,,,Aubichon Cellars,,,,,,
470,Cheval Rouge Reserve,,Boëté,,,Carmel Valley,,,
471,Coniale,,Castellare Di Castellina,,,,,,
472,La Guillotte,,Château Bouissel,Negrette,,Fronton,,,
473,Nicholas Estate Reserve,,Anam Cara,,,,,,
474,,,Carden,,,,,,
475,Fourplay,,Carhartt Vineyard,,,,,,
476,,,Quinta Da Romaneira,,Duriense,,,,
477,Thompson Vineyard,,Rideau,,,,,,
478,Daniello,,Tenuta Di Trecciano,,,,,,
479,Il Tarabuso,,Terre Del Marchesato,,,,,,
480,,,Vega Escal,,,Priorat,,,
481,Belleruche,,M. Chapoutier,,,,,,
482,Paderewski Vineyard,,Epoch Estate Wines,,,,,,
